CUM;ATC INVIMA;DESCRIPCIÓN ATC;FORMA FARMACÉUTICA;PRODUCTO;CANTIDAD PRINCIPIO ACTIVO;CANTIDAD PRINCIPIO ACTIVO SEGUNDARIO;UNIDAD BASE;VOLUMEN;UNIDAD VOLUMEN;PESO;UNIDAD PESO;CONCENTRACIÓN;UNIDAD CONCENTRACIÓN;CANTIDAD PRINCIPIO ACTIVO POR PRESENTACIÓN COMERCIAL;TITULAR;ESTADO CUM - Marzo 2014;UNIDADES POR PRESENTACIÓN COMERCIAL;UNIDAD DE DISPENSACIÓN DE LA PRESENTACION COMERCIAL;PRESENTACIÓN COMERCIAL;ID MERCADO RELEVANTE;MERCADO RELEVANTE;CIRCULAR - CNPMDM;FECHA DE ENTRADA EN VIGENCIA;MARGEN DE IPS -CIRCULAR 01 2014;ALEMANIA;ARGENTINA;AUSTRALIA;BRASIL;CANADA;CHILE;COLOMBIA;ECUADOR;EE.UU.;ESPAÑA;FRANCIA;MEXICO;NORUEGA;PANAMA;PERU;PORTUGAL;REINO UNIDO;URUGUAY
20028912-1;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;25;;mg;;;;;;;150;PFIZER;VIGENTE;6;CAPSULAS;6 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;201.34;;;2274.04;3302.85;5650.34;;2876.22;12445.73;16543.3;2890.32;2253.27;3233.22;2883.02;;5562.8;2855.82;9299.08;
20028912-14;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;25;;mg;;;;;;;2500;PFIZER;VIGENTE;100;CAPSULAS;100 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;3355.59;;;37900.7;55047.47;94172.26;;47936.98;207428.91;275721.61;48171.96;37554.46;53887.01;48050.32;;92713.41;47596.98;154984.65;
20028912-15;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;25;;mg;;;;;;;5000;PFIZER;VIGENTE;200;CAPSULAS;200 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;6711.18;;;75801.4;110094.94;188344.53;;95873.97;414857.83;551443.23;96343.93;75108.92;107774.02;96100.64;;185426.81;95193.96;309969.31;
20028912-2;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;25;;mg;;;;;;;175;PFIZER;VIGENTE;7;CAPSULAS;7 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;234.89;;;2653.05;3853.32;6592.06;;3355.59;14520.02;19300.51;3372.04;2628.81;3772.09;3363.52;;6489.94;3331.79;10848.93;
20028912-3;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;25;;mg;;;;;;;350;PFIZER;VIGENTE;14;CAPSULAS;14 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;469.78;;;5306.1;7706.65;13184.12;;6711.18;29040.05;38601.03;6744.07;5257.62;7544.18;6727.04;;12979.88;6663.58;21697.85;
20028912-4;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;25;;mg;;;;;;;700;PFIZER;VIGENTE;28;CAPSULAS;28 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;939.56;;;10612.2;15413.29;26368.23;;13422.36;58080.1;77202.05;13488.15;10515.25;15088.36;13454.09;;25959.75;13327.15;43395.7;
20028912-5;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;25;;mg;;;;;;;750;PFIZER;VIGENTE;30;CAPSULAS;30 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;1006.68;;;11370.21;16514.24;28251.68;;14381.1;62228.67;82716.48;14451.59;11266.34;16166.1;14415.1;;27814.02;14279.09;46495.4;
20028912-6;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;25;;mg;;;;;;;1500;PFIZER;VIGENTE;60;CAPSULAS;60 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;2013.35;;;22740.42;33028.48;56503.36;;28762.19;124457.35;165432.97;28903.18;22532.68;32332.21;28830.19;;55628.04;28558.19;92990.79;
20041731-1;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;300;;mg;;;;;;;1800;PFIZER;VIGENTE;6;CAPSULAS;6 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;2416.02;;;27288.5;39634.18;67804.03;;34514.63;149348.82;198519.56;34683.81;27039.21;38798.65;34596.23;;66753.65;34269.83;111588.95;
20041731-13;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;300;;mg;;;;;;;30000;PFIZER;VIGENTE;100;CAPSULAS;100 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;40267.07;;;454808.41;660569.63;1130067.18;;575243.81;2489146.96;3308659.35;578063.56;450653.52;646644.11;576603.83;;1112560.86;571163.76;1859815.85;
20041731-14;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;300;;mg;;;;;;;60000;PFIZER;VIGENTE;200;CAPSULAS;200 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;40267.07;;;909616.83;1321139.26;2260134.35;;1150487.62;4978293.92;6617318.71;1156127.12;901307.04;1293288.22;1153207.65;;2225121.73;1142327.52;3719631.7;
20041731-2;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;300;;mg;;;;;;;2100;PFIZER;VIGENTE;7;CAPSULAS;7 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;2818.69;;;31836.59;46239.87;79104.7;;40267.07;174240.29;231606.15;40464.45;31545.75;45265.09;40362.27;;77879.26;39981.46;130187.11;
20041731-3;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;300;;mg;;;;;;;4200;PFIZER;VIGENTE;14;CAPSULAS;14 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;5637.39;;;63673.18;92479.75;158209.4;;80534.13;348480.57;463212.31;80928.9;63091.49;90530.18;80724.54;;155758.52;79962.93;260374.22;
20041731-4;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;300;;mg;;;;;;;8400;PFIZER;VIGENTE;28;CAPSULAS;28 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;11274.78;;;127346.36;184959.5;316418.81;;161068.27;696961.15;926424.62;161857.8;126182.99;181060.35;161449.07;;311517.04;159925.85;520748.44;
20041731-5;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;300;;mg;;;;;;;9000;PFIZER;VIGENTE;30;CAPSULAS;30 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;12080.12;;;136442.52;198170.89;339020.15;;172573.14;746744.09;992597.81;173419.07;135196.06;193993.23;172981.15;;333768.26;171349.13;557944.76;
20041731-6;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;300;;mg;;;;;;;18000;PFIZER;VIGENTE;60;CAPSULAS;60 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;24160.24;;;272885.05;396341.78;678040.31;;345146.29;1493488.18;1985195.61;346838.14;270392.11;387986.47;345962.3;;667536.52;342698.26;1115889.51;
20041733-1;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;50;;mg;;;;;;;300;PFIZER;VIGENTE;6;CAPSULAS;6 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;402.67;;;4548.08;6605.7;11300.67;;5752.44;24891.47;33086.59;5780.64;4506.54;6466.44;5766.04;;11125.61;5711.64;18598.16;
20041733-13;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;50;;mg;;;;;;;5000;PFIZER;VIGENTE;100;CAPSULAS;100 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;6711.18;;;75801.4;110094.94;188344.53;;95873.97;414857.83;551443.23;96343.93;75108.92;107774.02;96100.64;;185426.81;95193.96;309969.31;
20041733-14;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;50;;mg;;;;;;;10000;PFIZER;VIGENTE;200;CAPSULAS;200 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;13422.36;;;151602.8;220189.88;376689.06;;191747.94;829715.65;1102886.45;192687.85;150217.84;215548.04;192201.28;;370853.62;190387.92;619938.62;
20041733-2;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;50;;mg;;;;;;;350;PFIZER;VIGENTE;7;CAPSULAS;7 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;469.78;;;5306.1;7706.65;13184.12;;6711.18;29040.05;38601.03;6744.07;5257.62;7544.18;6727.04;;12979.88;6663.58;21697.85;
20041733-3;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;50;;mg;;;;;;;700;PFIZER;VIGENTE;14;CAPSULAS;14 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;939.56;;;10612.2;15413.29;26368.23;;13422.36;58080.1;77202.05;13488.15;10515.25;15088.36;13454.09;;25959.75;13327.15;43395.7;
20041733-4;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;50;;mg;;;;;;;1400;PFIZER;VIGENTE;28;CAPSULAS;28 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;1879.13;;;21224.39;30826.58;52736.47;;26844.71;116160.19;154404.1;26976.3;21030.5;30176.73;26908.18;;51919.51;26654.31;86791.41;
20041733-5;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;50;;mg;;;;;;;1500;PFIZER;VIGENTE;30;CAPSULAS;30 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;2013.35;;;22740.42;33028.48;56503.36;;28762.19;124457.35;165432.97;28903.18;22532.68;32332.21;28830.19;;55628.04;28558.19;92990.79;
20041733-6;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;50;;mg;;;;;;;3000;PFIZER;VIGENTE;60;CAPSULAS;60 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;4026.71;;;45480.84;66056.96;113006.72;;57524.38;248914.7;330865.94;57806.36;45065.35;64664.41;57660.38;;111256.09;57116.38;185981.59;
20041734-1;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;150;;mg;;;;;;;900;PFIZER;VIGENTE;6;CAPSULAS;6 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;1208.01;;;13644.25;19817.09;33902.02;;17257.31;74674.41;99259.78;17341.91;13519.61;19399.32;17298.11;;33376.83;17134.91;55794.48;
20041734-13;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;150;;mg;;;;;;;15000;PFIZER;VIGENTE;100;CAPSULAS;100 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;20133.53;;;227404.21;330284.81;565033.59;;287621.9;1244573.48;1654329.68;289031.78;225326.76;323322.06;288301.91;;556280.43;285581.88;929907.93;
20041734-14;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;150;;mg;;;;;;;30000;PFIZER;VIGENTE;200;CAPSULAS;200 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;40267.07;;;454808.41;660569.63;1130067.18;;575243.81;2489146.96;3308659.35;578063.56;450653.52;646644.11;576603.83;;1112560.86;571163.76;1859815.85;
20041734-2;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;150;;mg;;;;;;;1050;PFIZER;VIGENTE;7;CAPSULAS;7 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;1409.35;;;15918.29;23119.94;39552.35;;20133.53;87120.14;115803.08;20232.22;15772.87;22632.54;20181.13;;38939.63;19990.73;65093.55;
20041734-3;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;150;;mg;;;;;;;2100;PFIZER;VIGENTE;14;CAPSULAS;14 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;2818.69;;;31836.59;46239.87;79104.7;;40267.07;174240.29;231606.15;40464.45;31545.75;45265.09;40362.27;;77879.26;39981.46;130187.11;
20041734-4;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;150;;mg;;;;;;;4200;PFIZER;VIGENTE;28;CAPSULAS;28 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;5637.39;;;63673.18;92479.75;158209.4;;80534.13;348480.57;463212.31;80928.9;63091.49;90530.18;80724.54;;155758.52;79962.93;260374.22;
20041734-5;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;150;;mg;;;;;;;4500;PFIZER;VIGENTE;30;CAPSULAS;30 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;6040.06;;;68221.26;99085.44;169510.08;;86286.57;373372.04;496298.9;86709.53;67598.03;96996.62;86490.57;;166884.13;85674.56;278972.38;
20041734-6;N03AX16;PREGABALINA;TABLETA / CAPSULA;ALOND;150;;mg;;;;;;;9000;PFIZER;VIGENTE;60;CAPSULAS;60 CAPSULAS;116;PREGABALINA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;12080.12;;;136442.52;198170.89;339020.15;;172573.14;746744.09;992597.81;173419.07;135196.06;193993.23;172981.15;;333768.26;171349.13;557944.76;
19904609-2;B02BD04;COAGULACION FACTOR IX;POLVO RECONSTITUIR A SOLUCION / SUSPENSION INYECTABLE;BENEFIX;500;;UI;5;ml;;;100;UI/ml;500;PFIZER;VIGENTE;1;VIAL;1 VIAL;85b;FACTOR ANTIHEMOFÍLICO IX RECOMBINANTE - Polvo liofilizado p/reconstituir a Sol.Inyectable;Circular 01 de 2014;25-abr-14;64036.92;;;1103007.78;;;;914813.08;;1171072.37;760809.86;914813.08;;1011928.97;;;;;
19904609-3;B02BD04;COAGULACION FACTOR IX;POLVO RECONSTITUIR A SOLUCION / SUSPENSION INYECTABLE;BENEFIX;500;;UI;5;ml;;;100;UI/ml;1000;PFIZER;VIGENTE;2;VIALES;2 VIALES;85b;FACTOR ANTIHEMOFÍLICO IX RECOMBINANTE - Polvo liofilizado p/reconstituir a Sol.Inyectable;Circular 01 de 2014;25-abr-14;64036.92;;;2206015.55;;;;1829626.16;;2342144.73;1521619.73;1829626.16;;2023857.94;;;;;
19904609-4;B02BD04;COAGULACION FACTOR IX;POLVO RECONSTITUIR A SOLUCION / SUSPENSION INYECTABLE;BENEFIX;500;;UI;5;ml;;;100;UI/ml;2500;PFIZER;VIGENTE;5;VIALES;5 VIALES;85b;FACTOR ANTIHEMOFÍLICO IX RECOMBINANTE - Polvo liofilizado p/reconstituir a Sol.Inyectable;Circular 01 de 2014;25-abr-14;160092.29;;;5515038.88;;;;4574065.41;;5855361.83;3804049.32;4574065.41;;5059644.85;;;;;
19904609-5;B02BD04;COAGULACION FACTOR IX;POLVO RECONSTITUIR A SOLUCION / SUSPENSION INYECTABLE;BENEFIX;500;;UI;5;ml;;;100;UI/ml;3000;PFIZER;VIGENTE;6;VIALES;6 VIALES;85b;FACTOR ANTIHEMOFÍLICO IX RECOMBINANTE - Polvo liofilizado p/reconstituir a Sol.Inyectable;Circular 01 de 2014;25-abr-14;192110.75;;;6618046.65;;;;5488878.49;;7026434.2;4564859.18;5488878.49;;6071573.82;;;;;
19904609-6;B02BD04;COAGULACION FACTOR IX;POLVO RECONSTITUIR A SOLUCION / SUSPENSION INYECTABLE;BENEFIX;500;;UI;5;ml;;;100;UI/ml;4000;PFIZER;VIGENTE;8;VIALES;8 VIALES;85b;FACTOR ANTIHEMOFÍLICO IX RECOMBINANTE - Polvo liofilizado p/reconstituir a Sol.Inyectable;Circular 01 de 2014;25-abr-14;256147.66;;;8824062.2;;;;7318504.66;;9368578.93;6086478.91;7318504.66;;8095431.76;;;;;
19904609-7;B02BD04;COAGULACION FACTOR IX;POLVO RECONSTITUIR A SOLUCION / SUSPENSION INYECTABLE;BENEFIX;500;;UI;5;ml;;;100;UI/ml;5000;PFIZER;VIGENTE;10;VIALES;10 VIALES;85b;FACTOR ANTIHEMOFÍLICO IX RECOMBINANTE - Polvo liofilizado p/reconstituir a Sol.Inyectable;Circular 01 de 2014;25-abr-14;320184.58;;;11030077.75;;;;9148130.82;;11710723.67;7608098.64;9148130.82;;10119289.7;;;;;
19904609-8;B02BD04;COAGULACION FACTOR IX;POLVO RECONSTITUIR A SOLUCION / SUSPENSION INYECTABLE;BENEFIX;500;;UI;5;ml;;;100;UI/ml;6000;PFIZER;VIGENTE;12;VIALES;12 VIALES;85b;FACTOR ANTIHEMOFÍLICO IX RECOMBINANTE - Polvo liofilizado p/reconstituir a Sol.Inyectable;Circular 01 de 2014;25-abr-14;384221.49;;;13236093.31;;;;10977756.99;;14052868.4;9129718.36;10977756.99;;12143147.64;;;;;
19904610-1;B02BD04;COAGULACION FACTOR IX;POLVO RECONSTITUIR A SOLUCION / SUSPENSION INYECTABLE;BENEFIX;250;;UI;5;ml;;;50;UI/ml;250;PFIZER;VIGENTE;1;VIAL;1 VIAL;85b;FACTOR ANTIHEMOFÍLICO IX RECOMBINANTE - Polvo liofilizado p/reconstituir a Sol.Inyectable;Circular 01 de 2014;25-abr-14;32018.46;;;551503.89;;;;457406.54;;585536.18;380404.93;457406.54;;505964.48;;;;;
19904610-3;B02BD04;COAGULACION FACTOR IX;POLVO RECONSTITUIR A SOLUCION / SUSPENSION INYECTABLE;BENEFIX;250;;UI;5;ml;;;50;UI/ml;250;PFIZER;VIGENTE;1;VIAL;1 VIAL;85b;FACTOR ANTIHEMOFÍLICO IX RECOMBINANTE - Polvo liofilizado p/reconstituir a Sol.Inyectable;Circular 01 de 2014;25-abr-14;32018.46;;;551503.89;;;;457406.54;;585536.18;380404.93;457406.54;;505964.48;;;;;
19904610-4;B02BD04;COAGULACION FACTOR IX;POLVO RECONSTITUIR A SOLUCION / SUSPENSION INYECTABLE;BENEFIX;250;;UI;5;ml;;;50;UI/ml;500;PFIZER;VIGENTE;2;VIALES;2 VIALES;85b;FACTOR ANTIHEMOFÍLICO IX RECOMBINANTE - Polvo liofilizado p/reconstituir a Sol.Inyectable;Circular 01 de 2014;25-abr-14;64036.92;;;1103007.78;;;;914813.08;;1171072.37;760809.86;914813.08;;1011928.97;;;;;
19904610-5;B02BD04;COAGULACION FACTOR IX;POLVO RECONSTITUIR A SOLUCION / SUSPENSION INYECTABLE;BENEFIX;250;;UI;5;ml;;;50;UI/ml;1250;PFIZER;VIGENTE;5;VIALES;5 VIALES;85b;FACTOR ANTIHEMOFÍLICO IX RECOMBINANTE - Polvo liofilizado p/reconstituir a Sol.Inyectable;Circular 01 de 2014;25-abr-14;80046.14;;;2757519.44;;;;2287032.71;;2927680.92;1902024.66;2287032.71;;2529822.42;;;;;
19904610-6;B02BD04;COAGULACION FACTOR IX;POLVO RECONSTITUIR A SOLUCION / SUSPENSION INYECTABLE;BENEFIX;250;;UI;5;ml;;;50;UI/ml;1500;PFIZER;VIGENTE;6;VIALES;6 VIALES;85b;FACTOR ANTIHEMOFÍLICO IX RECOMBINANTE - Polvo liofilizado p/reconstituir a Sol.Inyectable;Circular 01 de 2014;25-abr-14;96055.37;;;3309023.33;;;;2744439.25;;3513217.1;2282429.59;2744439.25;;3035786.91;;;;;
19904610-7;B02BD04;COAGULACION FACTOR IX;POLVO RECONSTITUIR A SOLUCION / SUSPENSION INYECTABLE;BENEFIX;250;;UI;5;ml;;;50;UI/ml;2000;PFIZER;VIGENTE;8;VIALES;8 VIALES;85b;FACTOR ANTIHEMOFÍLICO IX RECOMBINANTE - Polvo liofilizado p/reconstituir a Sol.Inyectable;Circular 01 de 2014;25-abr-14;128073.83;;;4412031.1;;;;3659252.33;;4684289.47;3043239.45;3659252.33;;4047715.88;;;;;
19904610-8;B02BD04;COAGULACION FACTOR IX;POLVO RECONSTITUIR A SOLUCION / SUSPENSION INYECTABLE;BENEFIX;250;;UI;5;ml;;;50;UI/ml;2500;PFIZER;VIGENTE;10;VIALES;10 VIALES;85b;FACTOR ANTIHEMOFÍLICO IX RECOMBINANTE - Polvo liofilizado p/reconstituir a Sol.Inyectable;Circular 01 de 2014;25-abr-14;160092.29;;;5515038.88;;;;4574065.41;;5855361.83;3804049.32;4574065.41;;5059644.85;;;;;
19904610-9;B02BD04;COAGULACION FACTOR IX;POLVO RECONSTITUIR A SOLUCION / SUSPENSION INYECTABLE;BENEFIX;250;;UI;5;ml;;;50;UI/ml;3000;PFIZER;VIGENTE;12;VIALES;12 VIALES;85b;FACTOR ANTIHEMOFÍLICO IX RECOMBINANTE - Polvo liofilizado p/reconstituir a Sol.Inyectable;Circular 01 de 2014;25-abr-14;192110.75;;;6618046.65;;;;5488878.49;;7026434.2;4564859.18;5488878.49;;6071573.82;;;;;
19908644-1;L02BB03;BICALUTAMIDA;TABLETA / CAPSULA;CASODEX;150;;mg;;;;;;;4200;ASTRAZENECA;VIGENTE;28;TABLETAS;28 TABLETAS;74;BICALUTAMIDA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;22206.66;486882.87;;725271.76;1302986.02;1031204.43;;317237.95;;2200271.37;202505.34;307720.8;372890.39;317237.95;;1673703.89;333272.84;969497.74;227354.91
19908644-3;L02BB03;BICALUTAMIDA;TABLETA / CAPSULA;CASODEX;150;;mg;;;;;;;4200;ASTRAZENECA;VIGENTE;28;TABLETAS;28 TABLETAS;74;BICALUTAMIDA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;22206.66;486882.87;;725271.76;1302986.02;1031204.43;;317237.95;;2200271.37;202505.34;307720.8;372890.39;317237.95;;1673703.89;333272.84;969497.74;227354.91
201198-1;L02BB03;BICALUTAMIDA;TABLETA / CAPSULA;CASODEX;50;;mg;;;;;;;1400;ASTRAZENECA;VIGENTE;28;TABLETAS;28 TABLETAS;74;BICALUTAMIDA - Tableta/Capsula;Circular 01 de 2014;25-abr-14;7402.22;162294.29;;241757.25;434328.67;343734.81;;105745.98;;733423.79;67501.78;102573.6;124296.8;105745.98;;557901.3;111090.95;323165.91;75784.97
