CUM;ATC INVIMA;DESCRIPCIÓN ATC;FORMA FARMACÉUTICA;PRODUCTO;CANTIDAD PRINCIPIO ACTIVO;CANTIDAD PRINCIPIO ACTIVO SEGUNDARIO;UNIDAD BASE;VOLUMEN;UNIDAD VOLUMEN;PESO;UNIDAD PESO;CONCENTRACIÓN;UNIDAD CONCENTRACIÓN;CANTIDAD PRINCIPIO ACTIVO POR PRESENTACIÓN COMERCIAL;TITULAR;ESTADO CUM - Marzo 2014;UNIDADES POR PRESENTACIÓN COMERCIAL;UNIDAD DE DISPENSACIÓN DE LA PRESENTACION COMERCIAL;PRESENTACIÓN COMERCIAL;ID MERCADO RELEVANTE;MERCADO RELEVANTE;CIRCULAR - CNPMDM;FECHA DE ENTRADA EN VIGENCIA;MARGEN DE IPS -CIRCULAR 01 2014;ALEMANIA;ARGENTINA;AUSTRALIA;BRASIL;CANADA;CHILE;COLOMBIA;ECUADOR;EE.UU.;ESPAÑA;FRANCIA;MEXICO;NORUEGA;PANAMA;PERU;PORTUGAL;REINO UNIDO;URUGUAY
19943209-3;L04AD01;CICLOSPORINA;TABLETA / CAPSULA;BIOSPORIN;50;;mg;;;;;;;5000;BIOTOSCANA;VIGENTE;100;CAPSULAS;100 CAPSULAS;77;CICLOSPORINA - Tableta/Capsula;Circular 07 de 2013;14-ene-14;18104.86;577173.46;;520754.54;195682.42;517101.24;;258640.91;;686771.24;263797.2;452975.56;;417925.42;552609.85;200686.08;243172.01;408099.3;
19943316-1;L04AD01;CICLOSPORINA;TABLETA / CAPSULA;BIOSPORIN;25;;mg;;;;;;;250;BIOTOSCANA;VIGENTE;10;CAPSULAS;10 CAPSULAS;77;CICLOSPORINA - Tableta/Capsula;Circular 07 de 2013;14-ene-14;905.24;28858.67;;26037.73;9784.12;25855.06;;12932.05;;34338.56;13189.86;22648.78;;20896.27;27630.49;10034.3;12158.6;20404.97;
19943316-2;L04AD01;CICLOSPORINA;TABLETA / CAPSULA;BIOSPORIN;25;;mg;;;;;;;1250;BIOTOSCANA;VIGENTE;50;CAPSULAS;50 CAPSULAS;77;CICLOSPORINA - Tableta/Capsula;Circular 07 de 2013;14-ene-14;4526.22;144293.37;;130188.64;48920.61;129275.31;;64660.23;;171692.81;65949.3;113243.89;;104481.36;138152.46;50171.52;60793,00;102024.83;
19943316-3;L04AD01;CICLOSPORINA;TABLETA / CAPSULA;BIOSPORIN;25;;mg;;;;;;;2500;BIOTOSCANA;VIGENTE;100;CAPSULAS;100 CAPSULAS;77;CICLOSPORINA - Tableta/Capsula;Circular 07 de 2013;14-ene-14;9052.43;288586.73;;260377.27;97841.21;258550.62;;129320.45;;343385.62;131898.6;226487.78;;208962.71;276304.92;100343.04;121586,00;204049.65;
20004997-1;M03AX01;TOXINA BOTULINICA;POLVO RECONSTITUIR A SOLUCION / SUSPENSION INYECTABLE;BOTOX;50;;UI;1;ml;;;50;U/ml;50;ALLERGAN;VIGENTE;1;VIAL;1 VIAL;128b;TOXINA BOTULINICA CLOSTRIDIUM TIPO A - Polvo liofilizado p/reconstituir a Sol.Inyectable;Circular 07 de 2013;14-ene-14;15687.31;;;409032.24;343155.22;323679.38;261218.41;224104.37;;495474.38;184837.03;;;221286.54;;287155.66;170442.84;232557.84;
20019432-1;M03AX01;TOXINA BOTULINICA;POLVO RECONSTITUIR A SOLUCION / SUSPENSION INYECTABLE;BOTOX;200;;UI;1;ml;;;200;U/ml;200;ALLERGAN;VIGENTE;1;VIAL;1 VIAL;128b;TOXINA BOTULINICA CLOSTRIDIUM TIPO A - Polvo liofilizado p/reconstituir a Sol.Inyectable;Circular 07 de 2013;14-ene-14;62749.22;;;1636128.97;1372620.88;1294717.53;1044873.63;896417.47;;1981897.5;739348.12;;;885146.16;;1148622.63;681771.35;930231.37;
45122-1;M03AX01;TOXINA BOTULINICA;POLVO RECONSTITUIR A SOLUCION / SUSPENSION INYECTABLE;BOTOX;100;;UI;1;ml;;;100;UI/ml;100;ALLERGAN;EN TRAMITE RENOV;1;VIAL;1 VIAL;128b;TOXINA BOTULINICA CLOSTRIDIUM TIPO A - Polvo liofilizado p/reconstituir a Sol.Inyectable;Circular 07 de 2013;14-ene-14;31374.61;;;818064.49;686310.44;647358.76;522436.82;448208.73;;990948.75;369674.06;;;442573.08;;574311.32;340885.68;465115.69;
19926496-2;J02AX04;CASPOFUNGIN;POLVO RECONSTITUIR A SOLUCION / SUSPENSION INYECTABLE;CANCIDAS;70;;mg;10;ml;;;7;mg/ml;70;MERCK SHARP DOME;VIGENTE;1;VIAL;1 VIAL;76;CASPOFUNGINA - Polvo liofilizado p/reconstituir a Sol.Inyectable;Circular 07 de 2013;14-ene-14;48364.31;;;;1722938.59;483071.08;848830.14;690918.65;;549606.87;1470782.12;1564493,00;447592.68;1400421.31;832230.43;1281938.11;;1415915,00;
19926495-1;J02AX04;CASPOFUNGIN;POLVO RECONSTITUIR A SOLUCION / SUSPENSION INYECTABLE;CANCIDAS;50;;mg;10;ml;;;5;mg/ml;50;MERCK;VIGENTE;1;VIAL;1 VIAL;76;CASPOFUNGINA - Polvo liofilizado p/reconstituir a Sol.Inyectable;Circular 07 de 2013;14-ene-14;34545.93;;;;1230670.42;345050.77;606307.24;493513.32;;392576.34;1050558.66;1117495,00;319709.06;1000300.93;594450.31;915670.08;;1011367.86;
204751-1;L04AA06;MICOFENOLICO  ACIDO;TABLETA / CAPSULA;CELLCEPT;250;;mg;;;;;;;25000;ROCHE;VIGENTE;100;CAPSULAS;100 CAPSULAS;111;MICOFENOLICO  ACIDO - Tableta/Capsula;Circular 07 de 2013;14-ene-14;17160.08;;;431781.43;334604.14;438715.01;;245143.95;;1053412.52;245143.95;261523.92;89217.22;208856.95;645990.68;452915.64;237150.73;314068.8;381673.75
204751-2;L04AA06;MICOFENOLICO  ACIDO;TABLETA / CAPSULA;CELLCEPT;250;;mg;;;;;;;25000;ROCHE;VIGENTE;100;CAPSULAS;100 CAPSULAS;111;MICOFENOLICO  ACIDO - Tableta/Capsula;Circular 07 de 2013;14-ene-14;17160.08;;;431781.43;334604.14;438715.01;;245143.95;;1053412.52;245143.95;261523.92;89217.22;208856.95;645990.68;452915.64;237150.73;314068.8;381673.75
216049-3;L04AA06;MICOFENOLICO  ACIDO;TABLETA / CAPSULA;CELLCEPT;500;;mg;;;;;;;25000;ROCHE;VIGENTE;50;TABLETAS;50 TABLETAS;111;MICOFENOLICO  ACIDO - Tableta/Capsula;Circular 07 de 2013;14-ene-14;17160.08;;;431781.43;334604.14;438715.01;;245143.95;;1053412.52;245143.95;261523.92;89217.22;208856.95;645990.68;452915.64;237150.73;314068.8;381673.75
19929840-1;C01CX08;LEVOSIMENDAN;SOLUCION / SUSPENSION INYECTABLE;DAXIM;12.5;;mg;5;ml;;;2.5;mg/ml;12.5;ABBOTT  / ABBVIE;VIGENTE;1;VIAL;1 VIAL x 5 ml;104;LEVOSIMENDAN - Polvo liofilizado p/reconstituir a Sol.Inyectable;Circular 07 de 2013;14-ene-14;50927.71;;;;2123042.55;;1593388.91;1455077.37;;;1537840.29;;1347793.15;1663993.48;1372314.45;1911470.7;;;
20037678-1;N05AH04;QUETIAPINA;TABLETA / CAPSULA DE LIBERACION PROLONGADA;DRUGTECH QUETIDIN;50;;mg;;;;;;;1500;SYNTHESIS;VIGENTE;30;TABLETAS;30 TABLETAS;117;QUETIAPINA - Tableta de liberación prolongada;Circular 07 de 2013;14-ene-14;2202.15;;;38222.94;59249.33;34877.59;;31459.25;107238.35;200590.94;40736.32;32822.78;;27368.67;;64401.89;26097.7;61533.49;10428.89
20037515-1;N05AH04;QUETIAPINA;TABLETA / CAPSULA DE LIBERACION PROLONGADA;DRUGTECH QUETIDIN XR;300;;mg;;;;;;;9000;SYNTHESIS;VIGENTE;30;TABLETAS;30 TABLETAS;117;QUETIAPINA - Tableta de liberación prolongada;Circular 07 de 2013;14-ene-14;13212.89;;;229337.64;355495.98;209265.52;;188755.52;643430.07;1203545.65;244417.92;196936.7;;164211.99;;386411.37;156586.18;369200.94;62573.35
20037676-1;N05AH04;QUETIAPINA;TABLETA / CAPSULA DE LIBERACION PROLONGADA;DRUGTECH QUETIDIN XR;200;;mg;;;;;;;6000;SYNTHESIS;VIGENTE;30;TABLETAS;30 TABLETAS;117;QUETIAPINA - Tableta de liberación prolongada;Circular 07 de 2013;14-ene-14;8808.59;;;152891.76;236997.32;139510.35;;125837.02;428953.38;802363.76;162945.28;131291.13;;109474.66;;257607.58;104390.78;246133.96;41715.57
20049701-1;N05AH04;QUETIAPINA;TABLETA / CAPSULA DE LIBERACION PROLONGADA;DRUGTECH QUETIDIN XR;150;;mg;;;;;;;1050;SYNTHESIS;VIGENTE;7;TABLETAS;7 TABLETAS;117;QUETIAPINA - Tableta de liberación prolongada;Circular 07 de 2013;14-ene-14;1541.5;;;26756.06;41474.53;24414.31;;22021.48;75066.84;140413.66;28515.42;22975.95;;19158.07;;45081.33;18268.39;43073.44;7300.22
20049701-10;N05AH04;QUETIAPINA;TABLETA / CAPSULA DE LIBERACION PROLONGADA;DRUGTECH QUETIDIN XR;150;;mg;;;;;;;15000;SYNTHESIS;VIGENTE;100;TABLETAS;100 TABLETAS;117;QUETIAPINA - Tableta de liberación prolongada;Circular 07 de 2013;14-ene-14;22021.48;;;382229.39;592493.3;348775.87;;314592.54;1072383.46;2005909.41;407363.2;328227.83;;273686.66;;644018.94;260976.96;615334.9;104288.92
20049701-11;N05AH04;QUETIAPINA;TABLETA / CAPSULA DE LIBERACION PROLONGADA;DRUGTECH QUETIDIN XR;150;;mg;;;;;;;30000;SYNTHESIS;VIGENTE;200;TABLETAS;200 TABLETAS;117;QUETIAPINA - Tableta de liberación prolongada;Circular 07 de 2013;14-ene-14;44042.96;;;764458.78;1184986.6;697551.74;;629185.08;2144766.91;4011818.82;814726.4;656455.67;;547373.31;;1288037.89;521953.92;1230669.8;208577.83
20049701-12;N05AH04;QUETIAPINA;TABLETA / CAPSULA DE LIBERACION PROLONGADA;DRUGTECH QUETIDIN XR;150;;mg;;;;;;;2250;SYNTHESIS;VIGENTE;15;TABLETAS;15 TABLETAS;117;QUETIAPINA - Tableta de liberación prolongada;Circular 07 de 2013;14-ene-14;3303.22;;;57334.41;88873.99;52316.38;;47188.88;160857.52;300886.41;61104.48;49234.18;;41053,00;;96602.84;39146.54;92300.23;15643.34
